year,state,month,date,number
2010,Alagoas,Junho,01/01/2010,0
2011,Alagoas,Junho,01/01/2011,2
2012,Alagoas,Junho,01/01/2012,4
2013,Alagoas,Junho,01/01/2013,1
2014,Alagoas,Junho,01/01/2014,2
2015,Alagoas,Junho,01/01/2015,2
2016,Alagoas,Junho,01/01/2016,5
2017,Alagoas,Junho,01/01/2017,2
1998,Alagoas,Julho,01/01/1998,0
1999,Alagoas,Julho,01/01/1999,0
2000,Alagoas,Julho,01/01/2000,0
2001,Alagoas,Julho,01/01/2001,0
2002,Alagoas,Julho,01/01/2002,5
2003,Alagoas,Julho,01/01/2003,0
2004,Alagoas,Julho,01/01/2004,0
2005,Alagoas,Julho,01/01/2005,0
2006,Alagoas,Julho,01/01/2006,0
2007,Alagoas,Julho,01/01/2007,0
2008,Alagoas,Julho,01/01/2008,0
2009,Alagoas,Julho,01/01/2009,0
2010,Alagoas,Julho,01/01/2010,2
2011,Alagoas,Julho,01/01/2011,0
2012,Alagoas,Julho,01/01/2012,0
2013,Alagoas,Julho,01/01/2013,0
2014,Alagoas,Julho,01/01/2014,1
2015,Alagoas,Julho,01/01/2015,0
2016,Alagoas,Julho,01/01/2016,3
2017,Alagoas,Julho,01/01/2017,0
1998,Alagoas,Agosto,01/01/1998,1
1999,Alagoas,Agosto,01/01/1999,3
2000,Alagoas,Agosto,01/01/2000,4
2001,Alagoas,Agosto,01/01/2001,1
2002,Alagoas,Agosto,01/01/2002,3
2003,Alagoas,Agosto,01/01/2003,2
2004,Alagoas,Agosto,01/01/2004,2
2005,Alagoas,Agosto,01/01/2005,2
2006,Alagoas,Agosto,01/01/2006,1
2007,Alagoas,Agosto,01/01/2007,3
2008,Alagoas,Agosto,01/01/2008,1
2009,Alagoas,Agosto,01/01/2009,0
2010,Alagoas,Agosto,01/01/2010,1
2011,Alagoas,Agosto,01/01/2011,4
2012,Alagoas,Agosto,01/01/2012,0
2013,Alagoas,Agosto,01/01/2013,0
2014,Alagoas,Agosto,01/01/2014,3
2015,Alagoas,Agosto,01/01/2015,3
2016,Alagoas,Agosto,01/01/2016,5
2017,Alagoas,Agosto,01/01/2017,1
1998,Alagoas,Setembro,01/01/1998,14
1999,Alagoas,Setembro,01/01/1999,3
2000,Alagoas,Setembro,01/01/2000,22
2001,Alagoas,Setembro,01/01/2001,5
2002,Alagoas,Setembro,01/01/2002,14
2003,Alagoas,Setembro,01/01/2003,8
2004,Alagoas,Setembro,01/01/2004,5
2005,Alagoas,Setembro,01/01/2005,7
2006,Alagoas,Setembro,01/01/2006,4
2007,Alagoas,Setembro,01/01/2007,2
2008,Alagoas,Setembro,01/01/2008,9
2009,Alagoas,Setembro,01/01/2009,13
2010,Alagoas,Setembro,01/01/2010,5
2011,Alagoas,Setembro,01/01/2011,5
2012,Alagoas,Setembro,01/01/2012,6
2013,Alagoas,Setembro,01/01/2013,4
2014,Alagoas,Setembro,01/01/2014,11
2015,Alagoas,Setembro,01/01/2015,7
2016,Alagoas,Setembro,01/01/2016,18
2017,Alagoas,Setembro,01/01/2017,4
1998,Alagoas,Outubro,01/01/1998,20
1999,Alagoas,Outubro,01/01/1999,4
2000,Alagoas,Outubro,01/01/2000,13
2001,Alagoas,Outubro,01/01/2001,15
2002,Alagoas,Outubro,01/01/2002,30
2003,Alagoas,Outubro,01/01/2003,10
2004,Alagoas,Outubro,01/01/2004,12
2005,Alagoas,Outubro,01/01/2005,17
2006,Alagoas,Outubro,01/01/2006,32
2007,Alagoas,Outubro,01/01/2007,6
2008,Alagoas,Outubro,01/01/2008,18
2009,Alagoas,Outubro,01/01/2009,30
2010,Alagoas,Outubro,01/01/2010,16
2011,Alagoas,Outubro,01/01/2011,23
2012,Alagoas,Outubro,01/01/2012,28
2013,Alagoas,Outubro,01/01/2013,25
2014,Alagoas,Outubro,01/01/2014,7
2015,Alagoas,Outubro,01/01/2015,40
2016,Alagoas,Outubro,01/01/2016,74
2017,Alagoas,Outubro,01/01/2017,14
1998,Alagoas,Novembro,01/01/1998,19
1999,Alagoas,Novembro,01/01/1999,15
2000,Alagoas,Novembro,01/01/2000,2
2001,Alagoas,Novembro,01/01/2001,22
2002,Alagoas,Novembro,01/01/2002,50
2003,Alagoas,Novembro,01/01/2003,17
2004,Alagoas,Novembro,01/01/2004,28
2005,Alagoas,Novembro,01/01/2005,25
2006,Alagoas,Novembro,01/01/2006,12
2007,Alagoas,Novembro,01/01/2007,15
2008,Alagoas,Novembro,01/01/2008,37
2009,Alagoas,Novembro,01/01/2009,55
2010,Alagoas,Novembro,01/01/2010,31
2011,Alagoas,Novembro,01/01/2011,23
2012,Alagoas,Novembro,01/01/2012,95
2013,Alagoas,Novembro,01/01/2013,10
2014,Alagoas,Novembro,01/01/2014,14
2015,Alagoas,Novembro,01/01/2015,162
2016,Alagoas,Novembro,01/01/2016,76
2017,Alagoas,Novembro,01/01/2017,10
1998,Alagoas,Dezembro,01/01/1998,32
1999,Alagoas,Dezembro,01/01/1999,12
2000,Alagoas,Dezembro,01/01/2000,2
2001,Alagoas,Dezembro,01/01/2001,30
2002,Alagoas,Dezembro,01/01/2002,95
2003,Alagoas,Dezembro,01/01/2003,43
2004,Alagoas,Dezembro,01/01/2004,71
2005,Alagoas,Dezembro,01/01/2005,16
2006,Alagoas,Dezembro,01/01/2006,30
2007,Alagoas,Dezembro,01/01/2007,33
2008,Alagoas,Dezembro,01/01/2008,34
2009,Alagoas,Dezembro,01/01/2009,55
2010,Alagoas,Dezembro,01/01/2010,45
2011,Alagoas,Dezembro,01/01/2011,50
2012,Alagoas,Dezembro,01/01/2012,59
2013,Alagoas,Dezembro,01/01/2013,42
2014,Alagoas,Dezembro,01/01/2014,24
2015,Alagoas,Dezembro,01/01/2015,136
2016,Alagoas,Dezembro,01/01/2016,155
1998,Amapa,Janeiro,01/01/1998,0
1999,Amapa,Janeiro,01/01/1999,0
2000,Amapa,Janeiro,01/01/2000,2
2001,Amapa,Janeiro,01/01/2001,0
2002,Amapa,Janeiro,01/01/2002,7
2003,Amapa,Janeiro,01/01/2003,31
2004,Amapa,Janeiro,01/01/2004,38
2005,Amapa,Janeiro,01/01/2005,109
2006,Amapa,Janeiro,01/01/2006,6
2007,Amapa,Janeiro,01/01/2007,0
2008,Amapa,Janeiro,01/01/2008,2
2009,Amapa,Janeiro,01/01/2009,4
2010,Amapa,Janeiro,01/01/2010,2
2011,Amapa,Janeiro,01/01/2011,0
2012,Amapa,Janeiro,01/01/2012,30
2013,Amapa,Janeiro,01/01/2013,3
2014,Amapa,Janeiro,01/01/2014,10
2015,Amapa,Janeiro,01/01/2015,14
2016,Amapa,Janeiro,01/01/2016,19
2017,Amapa,Janeiro,01/01/2017,2
1998,Amapa,Fevereiro,01/01/1998,0
1999,Amapa,Fevereiro,01/01/1999,1
2000,Amapa,Fevereiro,01/01/2000,0
2001,Amapa,Fevereiro,01/01/2001,0
2002,Amapa,Fevereiro,01/01/2002,2
2003,Amapa,Fevereiro,01/01/2003,0
2004,Amapa,Fevereiro,01/01/2004,2
2005,Amapa,Fevereiro,01/01/2005,1
2006,Amapa,Fevereiro,01/01/2006,2
2007,Amapa,Fevereiro,01/01/2007,0
2008,Amapa,Fevereiro,01/01/2008,0
2009,Amapa,Fevereiro,01/01/2009,0
2010,Amapa,Fevereiro,01/01/2010,0
2011,Amapa,Fevereiro,01/01/2011,3
2012,Amapa,Fevereiro,01/01/2012,5
2013,Amapa,Fevereiro,01/01/2013,0
2014,Amapa,Fevereiro,01/01/2014,2
2015,Amapa,Fevereiro,01/01/2015,1
2016,Amapa,Fevereiro,01/01/2016,1
2017,Amapa,Fevereiro,01/01/2017,0
1998,Amapa,Março,01/01/1998,0
1999,Amapa,Março,01/01/1999,2
2000,Amapa,Março,01/01/2000,0
2001,Amapa,Março,01/01/2001,0
2002,Amapa,Março,01/01/2002,0
2003,Amapa,Março,01/01/2003,1
2004,Amapa,Março,01/01/2004,0
2005,Amapa,Março,01/01/2005,0
2006,Amapa,Março,01/01/2006,0
2007,Amapa,Março,01/01/2007,0
2008,Amapa,Março,01/01/2008,1
2009,Amapa,Março,01/01/2009,1
2010,Amapa,Março,01/01/2010,2
2011,Amapa,Março,01/01/2011,0
2012,Amapa,Março,01/01/2012,1
2013,Amapa,Março,01/01/2013,0
2014,Amapa,Março,01/01/2014,1
2015,Amapa,Março,01/01/2015,2
2016,Amapa,Março,01/01/2016,5
2017,Amapa,Março,01/01/2017,0
1998,Amapa,Abril,01/01/1998,0
1999,Amapa,Abril,01/01/1999,0
2000,Amapa,Abril,01/01/2000,0
2001,Amapa,Abril,01/01/2001,0
2002,Amapa,Abril,01/01/2002,0
2003,Amapa,Abril,01/01/2003,2
2004,Amapa,Abril,01/01/2004,0
2005,Amapa,Abril,01/01/2005,0
2006,Amapa,Abril,01/01/2006,0
2007,Amapa,Abril,01/01/2007,0
2008,Amapa,Abril,01/01/2008,2
2009,Amapa,Abril,01/01/2009,0
2010,Amapa,Abril,01/01/2010,2
2011,Amapa,Abril,01/01/2011,0
2012,Amapa,Abril,01/01/2012,2
2013,Amapa,Abril,01/01/2013,2
2014,Amapa,Abril,01/01/2014,0
2015,Amapa,Abril,01/01/2015,0
2016,Amapa,Abril,01/01/2016,0
2017,Amapa,Abril,01/01/2017,3
1998,Amapa,Maio,01/01/1998,0
1999,Amapa,Maio,01/01/1999,0
2000,Amapa,Maio,01/01/2000,0
2001,Amapa,Maio,01/01/2001,0
2002,Amapa,Maio,01/01/2002,3
2003,Amapa,Maio,01/01/2003,0
2004,Amapa,Maio,01/01/2004,0
2005,Amapa,Maio,01/01/2005,0
2006,Amapa,Maio,01/01/2006,0
2007,Amapa,Maio,01/01/2007,0
2008,Amapa,Maio,01/01/2008,0
2009,Amapa,Maio,01/01/2009,2
2010,Amapa,Maio,01/01/2010,2
2011,Amapa,Maio,01/01/2011,2
2012,Amapa,Maio,01/01/2012,2
2013,Amapa,Maio,01/01/2013,0
2014,Amapa,Maio,01/01/2014,0
2015,Amapa,Maio,01/01/2015,0
2016,Amapa,Maio,01/01/2016,1
2017,Amapa,Maio,01/01/2017,1
1998,Amapa,Junho,01/01/1998,0
1999,Amapa,Junho,01/01/1999,2
2000,Amapa,Junho,01/01/2000,0
2001,Amapa,Junho,01/01/2001,0
